,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
110,Illinois-Chicago,28,7,21,.250,-6.88,1.55,2,12,,,,,1633,1869,,,87.3,.390,.262,.457,49.4,56.5,10.5,3.8,.407,20.0,34.4,.270
111,Illinois State,31,16,15,.516,5.79,4.72,7,11,,,,,2141,2110,,,100.8,.403,.273,.552,49.2,60.6,10.6,9.9,.509,20.3,31.0,.296
112,Illinois,32,14,18,.438,10.59,11.87,3,13,,,,,1967,2008,,,90.1,.334,.266,.474,52.2,53.3,12.3,9.7,.440,21.4,39.4,.219
113,Indiana State,27,15,12,.556,7.94,3.98,10,8,,,,,1867,1760,,,101.3,.365,.307,.522,50.2,56.8,12.3,9.7,.490,17.0,31.8,.245
114,Indiana NCAA,34,23,11,.676,17.21,11.36,9,7,,,,,2565,2366,,,104.1,.385,.272,.552,48.9,61.1,10.5,7.9,.518,17.9,31.7,.269
115,Iona,30,16,14,.533,-1.93,-3.21,12,6,,,,,2287,2230,,,99.2,.404,.260,.517,51.2,62.0,10.5,15.5,.484,19.2,37.1,.264
116,Iowa State,30,15,15,.500,5.40,5.67,6,10,,,,,1886,1825,,,98.3,.378,.255,.506,52.5,53.3,9.1,6.9,.464,17.2,33.3,.265
117,Iowa NCAA,30,20,10,.667,15.36,11.43,9,7,,,,,2217,2099,,,105.3,.487,.315,.562,52.9,61.4,12.7,7.4,.521,21.2,40.5,.341
118,IUPUI,27,11,16,.407,-9.74,-4.97,6,8,,,,,1834,1888,,,98.5,.397,.273,.517,47.2,49.4,11.4,5.0,.479,18.4,32.7,.271
119,Jackson State,28,16,12,.571,-12.34,-9.34,11,5,,,,,1926,1939,,,92.3,.435,.264,.482,51.1,57.0,9.7,10.6,.454,20.7,38.4,.257
120,Jacksonville State,26,8,18,.308,-17.45,-8.24,3,13,,,,,1647,1837,,,90.5,.340,.307,.490,48.8,53.0,9.6,6.1,.461,20.8,32.7,.217
121,Jacksonville,27,12,15,.444,-11.92,-7.84,7,9,,,,,1771,1820,,,91.9,.366,.294,.505,47.2,53.3,13.1,7.9,.467,21.5,32.3,.252
122,James Madison,27,16,11,.593,0.94,-4.62,9,7,,,,,1937,1787,,,104.1,.403,.339,.522,51.0,49.3,8.1,7.8,.488,16.2,35.7,.268
123,Kansas State,33,20,13,.606,10.24,5.40,7,9,,,,,2284,2113,,,98.5,.411,.266,.512,55.2,59.4,9.1,11.0,.476,19.5,38.2,.271
124,Kansas NCAA,33,23,10,.697,16.23,9.10,11,5,,,,,2380,2128,,70.4,101.6,.363,.248,.520,52.5,59.6,11.3,10.6,.490,18.4,37.6,.239
125,Kent State NCAA,30,23,7,.767,7.27,2.77,13,5,,,,,2156,1905,,,104.1,.353,.277,.526,50.8,59.0,13.3,8.1,.494,16.9,36.2,.242
126,Kentucky NCAA,37,28,9,.757,22.63,9.93,11,5,,,,,2790,2320,,,109.1,.359,.313,.551,54.1,58.5,11.2,14.2,.530,17.8,41.3,.229
127,La Salle,28,13,15,.464,-0.42,1.90,8,8,,,,,2023,2088,,,101.6,.351,.379,.523,47.2,53.4,7.0,8.5,.490,17.9,34.2,.239
128,Lafayette NCAA,30,22,8,.733,-2.64,-7.17,10,2,,,,,2167,1987,,,102.2,.445,.427,.545,49.0,65.5,12.1,11.0,.504,18.3,30.3,.313
