,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
323,Utah State,28,22,6,.786,12.12,-0.07,12,3,12,1,8,4,2201,1845,,1125,772,1639,.471,228,635,.359,427,570,.749,300,1119,483,182,118,358,524
324,Utah Valley,27,19,8,.704,3.37,-2.07,8,4,11,1,6,7,2104,1920,,1080,728,1483,.491,218,559,.390,430,597,.720,227,961,369,165,62,366,483
325,Utah,27,15,12,.556,6.38,5.19,9,6,8,5,6,4,2051,2019,,1085,701,1494,.469,263,692,.380,386,553,.698,271,955,388,124,68,368,481
326,Valparaiso,29,14,15,.483,-2.69,-0.61,7,9,8,6,5,7,1969,1933,,1175,717,1564,.458,174,524,.332,361,525,.688,257,975,398,181,88,392,482
327,Vanderbilt,27,9,18,.333,6.33,7.74,0,14,8,8,1,8,1909,1947,,1085,636,1482,.429,201,620,.324,436,637,.684,262,979,324,124,106,380,489
328,Vermont,28,22,6,.786,4.56,-3.48,12,2,11,2,11,4,2086,1803,,1130,715,1568,.456,212,612,.346,444,588,.755,251,981,328,153,110,304,469
329,Villanova,28,20,8,.714,14.97,7.43,11,4,11,2,5,4,2097,1886,,1130,702,1583,.443,300,851,.353,393,544,.722,295,991,400,158,82,314,466
330,Virginia Commonwealth,27,21,6,.778,12.91,3.13,12,2,14,1,6,4,1930,1666,,1090,671,1521,.441,193,624,.309,395,564,.700,289,999,375,213,123,383,546
331,VMI,28,8,20,.286,-11.56,0.80,2,14,6,7,2,13,2100,2286,,1130,735,1733,.424,273,777,.351,357,498,.717,257,978,380,194,51,359,483
332,Virginia Tech,27,21,6,.778,19.57,6.31,10,5,12,2,5,4,2009,1651,,1080,697,1457,.478,262,654,.401,353,468,.754,251,879,421,191,67,316,413
333,Virginia,26,24,2,.923,26.18,9.18,12,2,12,1,9,1,1858,1416,,1045,668,1411,.473,208,531,.392,314,416,.755,242,927,373,142,99,239,377
334,Wagner,27,13,14,.481,-10.87,-7.19,8,8,7,5,6,9,1796,1808,,1085,598,1518,.394,217,687,.316,383,517,.741,332,998,329,166,101,377,572
335,Wake Forest,26,10,16,.385,0.89,7.97,3,11,7,6,1,8,1791,1975,,1050,602,1510,.399,163,535,.305,424,585,.725,332,980,285,126,72,348,453
336,Washington State,27,11,16,.407,0.71,1.34,4,10,9,5,2,6,2085,2102,,1080,724,1574,.460,259,700,.370,378,498,.759,228,908,411,145,76,353,474
337,Washington,27,22,5,.815,13.76,6.27,13,1,14,0,6,3,1919,1717,,1080,674,1468,.459,199,574,.347,372,526,.707,266,881,319,243,161,363,501
338,Weber State,27,16,11,.593,-2.53,-5.33,10,6,9,4,5,5,2182,2003,,1090,767,1591,.482,203,557,.364,445,593,.750,186,994,315,138,118,323,505
339,West Virginia,27,10,17,.370,5.46,9.98,2,12,8,6,0,8,1911,2033,,1085,634,1549,.409,186,613,.303,457,671,.681,377,1044,341,161,102,431,566
340,Western Carolina,30,7,23,.233,-8.51,1.08,4,13,4,8,3,13,2147,2386,,1215,738,1622,.455,278,753,.369,393,591,.665,285,1068,366,127,49,553,622
341,Western Illinois,27,9,18,.333,-9.21,-5.49,4,10,7,6,2,12,1934,1960,,1085,718,1628,.441,213,558,.382,285,385,.740,224,963,285,148,120,302,415
342,Western Kentucky,28,16,12,.571,2.87,1.19,9,6,9,3,5,8,2011,1964,,1135,720,1591,.453,162,494,.328,409,567,.721,272,1039,352,194,141,392,444
343,Western Michigan,27,8,19,.296,-5.95,1.47,2,12,5,7,2,11,1924,2070,,1100,656,1523,.431,204,614,.332,408,588,.694,281,993,315,129,64,413,474
344,Wichita State,26,13,13,.500,6.12,6.24,6,8,8,4,2,7,1831,1834,,1045,661,1606,.412,199,623,.319,310,440,.705,317,968,357,124,85,324,520
345,William & Mary,28,12,16,.429,-4.07,-1.07,8,8,9,5,3,11,2105,2169,,1145,766,1614,.475,229,665,.344,344,511,.673,228,955,480,145,136,364,467
346,Winthrop,28,18,10,.643,-1.60,-3.68,10,5,11,3,7,7,2361,2191,,1130,810,1760,.460,352,933,.377,389,526,.740,308,1154,430,121,77,427,492
347,Wisconsin,27,19,8,.704,19.13,10.54,11,5,10,3,7,4,1886,1654,,1090,708,1524,.465,204,528,.386,266,407,.654,207,928,348,143,113,253,411
348,Wofford,28,24,4,.857,13.31,0.71,16,0,15,1,9,3,2324,1845,,1130,845,1725,.490,310,747,.415,324,462,.701,302,989,433,193,84,300,471
349,Wright State,29,18,11,.621,3.76,-0.98,12,4,14,2,4,6,2157,1971,,1165,743,1681,.442,236,671,.352,435,586,.742,316,1010,408,185,57,336,457
350,Wyoming,27,6,21,.222,-10.14,1.25,2,12,5,9,0,10,1736,2030,,1085,569,1383,.411,198,584,.339,400,547,.731,143,816,262,159,67,396,488
351,Xavier,28,15,13,.536,8.86,7.97,7,8,10,5,3,6,2011,1986,,1130,730,1559,.468,195,579,.337,356,519,.686,288,1008,412,159,107,380,449
352,Yale,23,18,5,.783,5.78,-1.36,8,2,9,1,7,4,1863,1677,,935,694,1385,.501,176,479,.367,299,425,.704,208,914,400,137,101,332,402
353,Youngstown State,30,12,18,.400,-7.32,-1.65,8,9,6,6,5,10,2251,2349,,1220,817,1924,.425,282,835,.338,335,478,.701,403,1144,416,199,108,402,608
