,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
170,Saint Joseph's,A-10,,11,16,70.0,72.8,-2.81,,1.98,,1.07,-1.91,-0.84,105.20,106.07,-0.87
171,Lehigh,Patriot,,18,9,80.6,77.3,3.26,,-4.12,,7.19,-8.05,-0.86,107.21,108.44,-1.23
172,Northern Iowa,MVC,,14,15,66.6,66.6,0.03,,1.07,,-5.12,4.22,-0.90,102.12,102.58,-0.46
173,Bradley,MVC,,16,13,67.5,66.3,1.21,,-1.61,,-4.77,3.83,-0.94,100.92,101.88,-0.96
174,Seattle,WAC,,15,12,73.9,68.6,5.37,,-4.41,,-2.81,1.68,-1.13,100.43,101.55,-1.12
175,Omaha,Summit,,18,9,79.7,77.2,2.48,,-2.36,,4.90,-6.07,-1.16,108.81,109.78,-0.97
176,Cal State Fullerton,Big West,,13,14,73.0,70.9,2.11,,0.15,,-0.05,-1.20,-1.25,97.96,99.18,-1.22
177,Texas-Arlington,Sun Belt,,13,15,68.5,70.6,-2.07,,1.67,,-4.43,3.06,-1.36,97.13,98.55,-1.42
178,Santa Clara,WCC,,15,13,68.6,70.6,-1.93,,1.53,,-3.00,1.50,-1.50,100.49,101.83,-1.34
179,Illinois State,MVC,,15,14,69.0,70.6,-1.55,,0.70,,-1.76,0.24,-1.52,101.92,103.71,-1.79
180,IUPUI,Horizon,,16,13,76.9,73.1,3.83,,-3.15,,-0.06,-1.51,-1.56,101.90,103.34,-1.44
181,Winthrop,Big South,,18,10,84.3,78.3,6.07,,-3.68,,7.08,-8.67,-1.60,105.79,107.19,-1.41
182,Massachusetts,A-10,,10,17,71.0,72.6,-1.67,,-0.07,,-0.13,-1.60,-1.73,103.98,106.52,-2.54
183,Louisiana,Sun Belt,,16,11,82.0,81.0,1.00,,-0.71,,6.20,-7.99,-1.79,105.12,107.12,-2.01
184,Stony Brook,AEC,,22,6,72.0,65.9,6.11,,-6.82,,-2.79,0.98,-1.82,97.00,99.66,-2.67
185,Indiana State,MVC,,14,14,69.7,71.7,-1.96,,1.19,,-0.61,-1.28,-1.89,101.11,103.20,-2.09
186,Sam Houston State,Southland,,19,9,75.2,69.2,5.96,,-5.29,,-0.83,-1.34,-2.17,101.01,103.75,-2.74
187,Princeton,Ivy,,15,8,70.2,68.6,1.57,,-0.92,,-5.32,3.11,-2.21,97.45,99.73,-2.27
188,Abilene Christian,Southland,,21,6,74.8,64.0,10.81,,-7.32,,-3.85,1.48,-2.37,101.32,103.67,-2.36
189,Pacific,WCC,,13,16,67.1,69.7,-2.62,,1.49,,-5.16,2.72,-2.44,99.75,103.85,-4.10
190,Weber State,Big Sky,,16,11,80.8,74.2,6.63,,-5.33,,2.38,-4.91,-2.53,101.45,104.99,-3.54
191,Illinois-Chicago,Horizon,,15,14,74.6,74.0,0.55,,-1.66,,0.18,-2.76,-2.58,99.21,101.84,-2.63
192,Valparaiso,MVC,,14,15,67.9,66.7,1.24,,-0.61,,-5.79,3.11,-2.69,98.59,102.09,-3.49
193,La Salle,A-10,,8,18,68.5,73.0,-4.50,,1.62,,-1.25,-1.63,-2.88,99.36,102.44,-3.08
194,Marshall,CUSA,,14,13,79.5,83.1,-3.63,,0.55,,8.51,-11.59,-3.08,104.24,107.57,-3.32
195,Oakland,Horizon,,13,16,76.7,77.0,-0.31,,-1.20,,2.22,-5.31,-3.10,108.04,111.90,-3.86
